HY020,HY022,HY023,HB070,HB100,head_age,head_PB150,head_PB190,head_PE021,head_PL051A,head_PL060,head_PY010N,head_PH010,household_size,mean_age,std_age,num_males,max_education,num_employed,total_employee_income,total_pension,avg_health,employment_rate,num_children,num_elderly,num_working_age,dependency_ratio,income_per_capita,vhPobreza
36618.9,36618.9,-1149.0,4301.0,22.0,66,1,2.0,,,,0.0,2.0,2,65.5,0.7071067811865476,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
39672.75,39672.75,-675.34,4401.0,10.0,69,1,2.0,,,,0.0,2.0,2,69.0,0.0,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
94065.9,70665.9,55870.0,4501.0,12.0,62,1,2.0,,34.0,40.0,19500.0,3.0,2,62.0,0.0,1,,0,54600.0,0.0,3.0,0.0,0,0,2,0.0,27300.0,0
26867.61,19827.61,12500.51,4601.0,13.0,43,2,4.0,,51.0,30.0,11602.54,2.0,1,43.0,,0,,0,11602.54,0.0,2.0,0.0,0,0,1,0.0,11602.54,0
60256.5,60256.5,24630.0,4702.0,18.0,69,2,2.0,,42.0,40.0,0.0,4.0,3,58.333333333333336,16.77299416721217,1,,0,21840.0,0.0,2.6666666666666665,0.0,0,2,1,2.0,7280.0,0
41800.0,41800.0,41800.0,4801.0,9.0,64,1,2.0,,32.0,35.0,40040.0,3.0,2,63.0,1.4142135623730951,1,,0,40040.0,0.0,2.5,0.0,0,0,2,0.0,20020.0,0
44739.25,44739.25,44739.25,4901.0,10.0,57,2,1.0,,23.0,45.0,42900.0,2.0,1,57.0,,0,,0,42900.0,0.0,2.0,0.0,0,0,1,0.0,42900.0,0
4804.0,4504.0,4504.0,5001.0,8.0,58,1,2.0,35.0,81.0,40.0,2210.0,2.0,3,42.333333333333336,20.5993527406405,1,35.0,0,4030.0,0.0,2.0,0.0,0,0,3,0.0,1343.3333333333333,1
75573.1,75573.1,75573.1,5101.0,18.0,46,1,2.0,,35.0,39.0,50411.4,1.0,2,45.5,0.7071067811865476,1,,0,73706.1,0.0,1.0,0.0,0,0,2,0.0,36853.05,0
98894.3,98894.3,98894.3,5201.0,22.0,53,1,2.0,50.0,21.0,40.0,62400.0,1.0,3,41.0,19.078784028338912,2,50.0,0,81762.02,0.0,1.0,0.0,0,0,3,0.0,27254.006666666668,0
15564.6,15564.6,-50.0,5301.0,10.0,53,2,4.0,,51.0,35.0,0.0,2.0,1,53.0,,0,,0,0.0,0.0,2.0,0.0,0,0,1,0.0,0.0,0
34476.0,34476.0,34476.0,,18.0,21,2,1.0,50.0,31.0,35.0,0.0,2.0,2,39.0,25.45584412271571,1,50.0,0,34580.0,0.0,2.0,0.0,0,0,2,0.0,17290.0,0
80140.0,80140.0,80140.0,5501.0,21.0,52,1,2.0,50.0,21.0,40.0,65000.0,2.0,4,35.0,18.51125783588643,2,50.0,0,80600.0,0.0,2.25,0.0,0,0,4,0.0,20150.0,0
55179.37,55179.37,55179.37,5701.0,10.0,57,1,2.0,50.0,72.0,40.0,27300.0,2.0,3,44.333333333333336,21.07921567168317,1,50.0,0,54600.0,0.0,2.0,0.0,0,0,3,0.0,18200.0,0
36294.38,35196.0,35196.0,5802.0,12.0,48,1,2.0,34.0,83.0,40.0,34320.0,2.0,3,35.0,16.09347693943108,1,34.0,0,34320.0,0.0,2.0,0.0,1,0,2,0.5,11440.0,0
